original_startlatitude,original_startlongitude,original_trip_count,distance,formatted,lat,lon,name,housenumber,street,zipcode,district,suburb,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url,,,,,,
36.104303,-86.802457,1,205.0139615,"3731 Belmont Boulevard, Nashville, TN 37215, United States of America",36.105885,-86.801285,,3731,Belmont Boulevard,37215,,Midtown,Nashville,Davidson County,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,
36.104336,-86.797542,1,0,"Lipscomb University, Mayfair Avenue, Nashville-Davidson, TN 37204, United States of America",36.10507165,-86.79864092,Lipscomb University,,Mayfair Avenue,37204,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.10435,-86.80964,1,3.757082278,"2015 Richard Jones Road, Nashville-Davidson, TN 37215, United States of America",36.10432098,-86.80961857,,2015,Richard Jones Road,37215,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.104385,-86.80249,1,5.089453574,"1643 South Observatory Drive, Nashville-Davidson, TN 37215, United States of America",36.10434141,-86.80247272,,1643,South Observatory Drive,37215,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.104635,-86.81156,1,0.577522727,"2048 Richard Jones Road, Nashville-Davidson, TN 37215, United States of America",36.10463818,-86.81155492,,2048,Richard Jones Road,37215,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.104804,-86.819145,101,15.71308745,"2287 Bandywood Drive, Nashville-Davidson, TN 37215, United States of America",36.1049452,-86.81913806,,2287,Bandywood Drive,37215,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.10496,-86.81895,1,3.068119303,"2279 Bandywood Drive, Nashville-Davidson, TN 37215, United States of America",36.10493333,-86.81895877,,2279,Bandywood Drive,37215,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.104992,-86.819233,100,4.568995268,"2291 Bandywood Drive, Nashville-Davidson, TN 37215, United States of America",36.10495113,-86.81922771,,2291,Bandywood Drive,37215,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.105006,-86.795267,1,37.72621665,"1135 Morrow Avenue, Nashville, TN 37204, United States of America",36.105321,-86.795111,,1135,Morrow Avenue,37204,,Midtown,Nashville,Davidson County,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,
36.10505,-86.72948,1,8.089177668,"3118 Lake Park Drive, Nashville-Davidson, TN 37211, United States of America",36.1051465,-86.72967234,,3118,Lake Park Drive,37211,,Radnor,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
